maker_id,maker_name,country,century,N_Sales,Span_Years,First_Sale,Last_Sale,Real_CAGR_%,Is_Dead
812,"Wahl, Eugen",Central Europe,20,11,34,1991,2025,-0.717806524744713,True
1393,"Hubicka, Julius A.",Central Europe,20,14,31,1992,2023,-1.2365929892118044,True
783,"Vávra, Karel",Central Europe,20,10,28,1988,2016,-1.6349030369408601,True
11435,"Prokop, Ladislav F.",Central Europe,20,15,27,1985,2012,-1.9966128075733391,True
249,"Gütter, Kurt Arno",Central Europe,20,28,36,1989,2025,-2.3019749357779173,True
1091,"Glaesel, Ernst",Central Europe,20,22,26,1984,2010,-2.568557348035505,True
597,"Reichert, Eduard",Central Europe,20,14,17,1995,2012,-2.5825276119378238,True
1757,"Fuchs, Wenzl",Central Europe,20,22,29,1986,2015,-4.171533958709029,True
1264,"Baader & Co., J. A.",Central Europe,20,30,24,1988,2012,-4.710816834300746,True
924,"Galla, Anton",Central Europe,20,10,16,1995,2011,-5.166492629905806,True
1028,"Vuillaume, Claude-François IV",France,18,11,30,1986,2016,4.446674839480136,True
604,"Renaudin, Leopold",France,18,12,42,1980,2022,4.000155799673077,True
1122,"Pique, François-Louis",France,18,41,95,1930,2025,2.650381228970633,True
402,"Lupot, Nicolas",France,18,60,116,1909,2025,2.606452329426201,True
641,"Salomon, Jean Baptiste Deshayes",France,18,33,41,1983,2024,2.4170807752133427,True
1436,"Guersan, Louis",France,18,50,45,1980,2025,2.3982801227314887,True
1312,"Lambert, Jean Nicolas",France,18,10,40,1983,2023,2.162992362442351,True
1313,"Frebrunet, Jean-Baptiste",France,18,19,37,1987,2024,2.0560437944778354,True
1616,"Perry, Thomas II",France,18,50,35,1984,2019,1.964220893346913,True
1507,"Chappuy, Nicolas Augustin",France,18,127,41,1984,2025,1.7427418784669246,True
43,"Bassot, Joseph",France,18,14,40,1984,2024,1.6849551285530673,True
1119,"Lupot, François I",France,18,25,57,1967,2024,1.560202743062744,True
2161,"Boquay, Jacques",France,18,54,44,1977,2021,0.650277643979269,True
1311,"Remy, Jean Mathurin",France,18,12,42,1982,2024,0.3841118421123113,True
1505,"Mathieu, Nicolas",France,18,14,44,1980,2024,-0.3892130324226861,True
487,"Nicolas, Didier l'aîné",France,18,280,43,1983,2026,-0.8914672660173206,True
1006,"Claudot, Charles I",France,18,25,37,1986,2023,-2.482330683338152,True
